"url","duration","intake","programme_outline","entry_requirements","career_prospect__001","career_prospect__002","career_prospect__003","career_prospect__004","career_prospect__005","career_prospect__006","career_prospect__007","career_prospect__008","career_prospect__009","career_prospect__010","career_prospect__011","career_prospect__012","career_prospect__013","career_prospect__014","career_prospect__015","career_prospect__016","career_prospect__017","career_prospect__018"
"https://fafb.tarc.edu.my/programmes/diploma/marketing","2 years","Duration:","Principles of Accounting","","Graduates Diploma in Marketing can seek employment in areas such:","Sales","Market Research","Advertising and Promotion","Retail and Distribution","International Marketing","Product Development at the Sub-professional Level & etc","","","","","","","","","","",""
"","","","Economics","","","","","","","","","","","","","","","","","","",""
"","","","Quantitative Studies","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Business","","","","","","","","","","","","","","","","","","",""
"","","","IT Fundamentals and Applications","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Finance","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Electronic Commerce","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Selling","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Retail Management","","","","","","","","","","","","","","","","","","",""
"","","","Managing People","","","","","","","","","","","","","","","","","","",""
"","","","Services Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Workplace Communication","","","","","","","","","","","","","","","","","","",""
"","","","Digital and Business Transformation","","","","","","","","","","","","","","","","","","",""
"","","","Organisational Behavior","","","","","","","","","","","","","","","","","","",""
"","","","Marketing Research","","","","","","","","","","","","","","","","","","",""
"","","","International Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Customer Relationship Management","","","","","","","","","","","","","","","","","","",""
"","","","Ethics for Business","","","","","","","","","","","","","","","","","","",""
"","","","Marketing Strategy","","","","","","","","","","","","","","","","","","",""
"","","","Entrepreneurship","","","","","","","","","","","","","","","","","","",""
"","","","Operation Management","","","","","","","","","","","","","","","","","","",""
"","","","AI in Social Media Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Sustainable Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Compulsory Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Civic Consciousness and Volunteerism/Bahasa Kebangsaan A, Intergrity and Anti-Corruption, Co-curricular.","","","","","","","","","","","","","","","","","","",""
"","","","Progression","","","","","","","","","","","","","","","","","","",""
"https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management","2 Years 4 Months","January & July","Building Materials","Please click","Graduates can be employed as:","Estate Agent","Property Market Researcher","Property Development Executive","Property Investment","Executive","Leasing/Tenancy Executive","","","","","","","","","","",""
"","","","Building Construction Technology","here","","","","","","","","","","","","","","","","","",""
"","","","Building Information Modelling and IT","of this programme in the brochure of Faculty of Built Environment.","","","","","","","","","","","","","","","","","",""
"","","","Building Science & Services","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Economics","","","","","","","","","","","","","","","","","","",""
"","","","Land Use Planning","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Investment Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Statutory Valuation","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Accounting","","","","","","","","","","","","","","","","","","",""
"","","","Land Economics","","","","","","","","","","","","","","","","","","",""
"","","","Real Estate Finance","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Town & Country Planning","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Law","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Malaysian Land Law","","","","","","","","","","","","","","","","","","",""
"","","","Property Taxation Law","","","","","","","","","","","","","","","","","","",""
"","","","Estate Agency Law and Practice","","","","","","","","","","","","","","","","","","",""
"","","","Property Marketing","","","","","","","","","","","","","","","","","","",""
"","","","Principles of Management","","","","","","","","","","","","","","","","","","",""
"","","","Property Management","","","","","","","","","","","","","","","","","","",""
"","","","Real Estate Professional Practices","","","","","","","","","","","","","","","","","","",""
"","","","Practical Training in Industry","","","","","","","","","","","","","","","","","","",""
"","","","Property Technology","","","","","","","","","","","","","","","","","","",""
"","","","LANGUAGE, MATA PELAJARAN PENGAJIAN UMUM (MPU) AND CO-CURRICULAR COURSES:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Academic English, Professional English, Penghayatan Etika dan Peradaban/Bahasa Komunikasi 1, Civic Consciousness and Volunteerism/Bahasa Kebangsaan A, Integrity and Anti-Corruption,Co-curricular","","","","","","","","","","","","","","","","","","",""
"https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design","2 Years 4 months","June","Introduction to Illustration","","Interactive Media Artists / Designers","UX & Web Designers","Mobile Application Developers","Social Media / Content Designers","2D / 3D Animators","Motion Designers","Digital Filmmakers / Editors","Post Production Designers / Compositors","Instructional Designers / Game Designers","Creative Technologies Entrepreneurs","","","","","","","",""
"","","","Image Manipulation","","","","","","","","","","","","","","","","","","",""
"","","","Introduction to Art","","","","","","","","","","","","","","","","","","",""
"","","","Colour Studies","","","","","","","","","","","","","","","","","","",""
"","","","Basic Photography","","","","","","","","","","","","","","","","","","",""
"","","","Creative & Critical Thinking","","","","","","","","","","","","","","","","","","",""
"","","","Basic Typography","","","","","","","","","","","","","","","","","","",""
"","","","Fundamentals of Web Page","","","","","","","","","","","","","","","","","","",""
"","","","Digital Typography","","","","","","","","","","","","","","","","","","",""
"","","","Conceptual Design","","","","","","","","","","","","","","","","","","",""
"","","","Applied Photography","","","","","","","","","","","","","","","","","","",""
"","","","Digital Illustration","","","","","","","","","","","","","","","","","","",""
"","","","Interface Design","","","","","","","","","","","","","","","","","","",""
"","","","Arts Law","","","","","","","","","","","","","","","","","","",""
"","","","2D Animation","","","","","","","","","","","","","","","","","","",""
"","","","Multimedia Video & Audio","","","","","","","","","","","","","","","","","","",""
"","","","Instructional Design","","","","","","","","","","","","","","","","","","",""
"","","","Interactive Web Design","","","","","","","","","","","","","","","","","","",""
"","","","Multimedia Design Project","","","","","","","","","","","","","","","","","","",""
"","","","3D Modeling","","","","","","","","","","","","","","","","","","",""
"","","","Industrial Training","","","","","","","","","","","","","","","","","","",""
"","","","Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:","","","","","","","","","","","","","","","","","","",""
"","","","English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Integrity and Anti Corruption, Civic Consciousness and Volunteerism OR","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A, Professional English,","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular","","","","","","","","","","","","","","","","","","",""
"","","","Bahasa Kebangsaan A is compulsory for students without Credit in Bahasa Malaysia at SPM level","","","","","","","","","","","","","","","","","","",""
"","","","Co-curricular course must be taken in Year 1 Semester 1","","","","","","","","","","","","","","","","","","",""
"https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education","Full-Time: 2","KL -","Language and Literacy Development of Children with Special Needs","","Early Childhood Special Education Teacher","Early Intervention Specialist","Special Education Coordinator","Early Childhood Special Education Centre Director","Early Childhood Special Education Consultant","Early Childhood Special Education Curriculum Developer","","","","","","","","","","","",""
"","","","Managing Behavior of Children with Special Needs","","","","","","","","","","","","","","","","","","",""
