url,programme_outline
https://fafb.tarc.edu.my/programmes/diploma/marketing,Principles of Accounting
https://fafb.tarc.edu.my/programmes/diploma/marketing,Economics
https://fafb.tarc.edu.my/programmes/diploma/marketing,Quantitative Studies
https://fafb.tarc.edu.my/programmes/diploma/marketing,Introduction to Business
https://fafb.tarc.edu.my/programmes/diploma/marketing,IT Fundamentals and Applications
https://fafb.tarc.edu.my/programmes/diploma/marketing,Fundamentals of Finance
https://fafb.tarc.edu.my/programmes/diploma/marketing,Fundamentals of Marketing
https://fafb.tarc.edu.my/programmes/diploma/marketing,Introduction to Electronic Commerce
https://fafb.tarc.edu.my/programmes/diploma/marketing,Principles of Management
https://fafb.tarc.edu.my/programmes/diploma/marketing,Fundamentals of Selling
https://fafb.tarc.edu.my/programmes/diploma/marketing,Principles of Retail Management
https://fafb.tarc.edu.my/programmes/diploma/marketing,Managing People
https://fafb.tarc.edu.my/programmes/diploma/marketing,Services Marketing
https://fafb.tarc.edu.my/programmes/diploma/marketing,Workplace Communication
https://fafb.tarc.edu.my/programmes/diploma/marketing,Digital and Business Transformation
https://fafb.tarc.edu.my/programmes/diploma/marketing,Organisational Behavior
https://fafb.tarc.edu.my/programmes/diploma/marketing,Marketing Research
https://fafb.tarc.edu.my/programmes/diploma/marketing,International Marketing
https://fafb.tarc.edu.my/programmes/diploma/marketing,Customer Relationship Management
https://fafb.tarc.edu.my/programmes/diploma/marketing,Ethics for Business
https://fafb.tarc.edu.my/programmes/diploma/marketing,Marketing Strategy
https://fafb.tarc.edu.my/programmes/diploma/marketing,Entrepreneurship
https://fafb.tarc.edu.my/programmes/diploma/marketing,Operation Management
https://fafb.tarc.edu.my/programmes/diploma/marketing,AI in Social Media Marketing
https://fafb.tarc.edu.my/programmes/diploma/marketing,Sustainable Marketing
https://fafb.tarc.edu.my/programmes/diploma/marketing,Compulsory Courses:
https://fafb.tarc.edu.my/programmes/diploma/marketing,"English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Civic Consciousness and Volunteerism/Bahasa Kebangsaan A, Intergrity and Anti-Corruption, Co-curricular."
https://fafb.tarc.edu.my/programmes/diploma/marketing,Progression
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Building Materials
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Building Construction Technology
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Building Information Modelling and IT
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Building Science & Services
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Introduction to Economics
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Land Use Planning
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Introduction to Valuation
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Valuation
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Investment Valuation
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Statutory Valuation
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Accounting
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Land Economics
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Real Estate Finance
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Town & Country Planning
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Introduction to Law
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Malaysian Land Law
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Property Taxation Law
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Estate Agency Law and Practice
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Property Marketing
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Principles of Management
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Property Management
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Real Estate Professional Practices
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Practical Training in Industry
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,Property Technology
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,"LANGUAGE, MATA PELAJARAN PENGAJIAN UMUM (MPU) AND CO-CURRICULAR COURSES:"
https://fobe.tarc.edu.my/programmes/diploma/diploma-in-real-estate-management,"English for Tertiary Studies, Academic English, Professional English, Penghayatan Etika dan Peradaban/Bahasa Komunikasi 1, Civic Consciousness and Volunteerism/Bahasa Kebangsaan A, Integrity and Anti-Corruption,Co-curricular"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Introduction to Illustration
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Image Manipulation
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Introduction to Art
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Colour Studies
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Basic Photography
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Creative & Critical Thinking
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Basic Typography
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Fundamentals of Web Page
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Digital Typography
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Conceptual Design
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Applied Photography
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Digital Illustration
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Interface Design
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Arts Law
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,2D Animation
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Multimedia Video & Audio
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Instructional Design
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Interactive Web Design
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Multimedia Design Project
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,3D Modeling
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Industrial Training
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"English for Tertiary Studies, Penghayatan Etika dan Peradaban, Academic English, Integrity and Anti Corruption, Civic Consciousness and Volunteerism OR"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,"Bahasa Kebangsaan A, Professional English,"
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Co-curricular
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Bahasa Kebangsaan A is compulsory for students without Credit in Bahasa Malaysia at SPM level
https://fcci.tarc.edu.my/programmes/diploma/diploma-in-multimedia-design,Co-curricular course must be taken in Year 1 Semester 1
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Language and Literacy Development of Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Managing Behavior of Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Introduction to Early Years Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Child Development in Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Understanding Autism Spectrum Disorder (ASD) and Attention Deficit Hyperactivity Disorder (ADHD)
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Teaching Mathematics to Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Co-curriculum management OR Entrepreneurship
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Teaching Science and Technology to Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Curriculum Development of Special Education in Malaysia
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Observing and Assessing Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Practicum I
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Children with Specific Learning Disabilities
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Children with Communication Disorders
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Educating Children with Physical, Visual and Hearing Impairment"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Partnering with Family and Community
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Planning Teaching and Learning for Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Understanding and Managing Gifted and Talented Children
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Planning and Delivery Services in Special Education
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Creative Arts for Children with Special Needs
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Safety, Health and Nutrition for Early Childhood"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,Practicum II
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
https://fssh.tarc.edu.my/programmes/diploma/diploma-in-early-childhood-special-education,"Penghayatan Etika & Peradaban, Bahasa Kebangsaan A/Public Speaking/Drama, Integrity and Anti-Corruption, Civic Consciousness and Volunteerism, English for Tertiary Studies, Co-curricular courses, Professional English, Academic English"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Aquaculture
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquaculture System and Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Entrepreneurship
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Commercial Aquaculture Species and Farming
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Site Selection, Design and Setup"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquaculture Environment and Water Quality
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Entrepreneurial Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"System Preparation, Stocking and Management"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Small Business Venture
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Aquaculture Engineering, Equipment and Tools"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Feed and Nutrition
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Live Food Species and Production
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Seed Production and Nursery
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Grow-out Technologies and Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Harvest, Processing and Post-Harvest"
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Aquatic Animal Health
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Good Aquaculture Practices
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Industrial Training
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Elective:
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Aquaponics
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Economics and Farm Management
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Computer Skills
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Information Technology and Systems
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Business
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,Introduction to Human Resource Management
https://foas.tarc.edu.my/programmes/diploma/daq-aquaculture,"Language, Mata Pelajaran Pengajian Umum (MPU) and Co-curricular Courses:"
