page_id,url,timestamp,content,content_length,source
about-us,https://www.tarc.edu.my/cpe/about-us/,2026-03-06T09:15:38.403096,"About Us
WHO ARE WE
The Centre for Continuing and Professional Education (CPE) was established in 1999 to provide continuing professional education and lifelong learning opportunities for University staff, students, alumni and the public.  As part of TAR UMT’s commitment to continuing education and lifelong learning, CPE is entrusted with the role of designing, developing and delivering a wide variety of activities, workshops and programmes to meet the diverse learning needs of various parties.
OUR STRENGTH
In CPE, we are committed to
Coordinate and organise staff development programmes to support the professional development of faculty and staff of TAR UMT;
Coordinate and organise training programmes for the public and corporate sector;
Organise Continuing Professional Development (CPD) and Lifelong Learning programmes;
Provide customized study tour and corporate training programmes for international clients;
Provide counselling and placement services for students to study abroad;
Provide administrative services and facility support for the organisation of professional conferences, symposiums, forums, seminars, workshops and talks
EFFECTIVE TRAINING BEGINS HERE!
We provide one-stop training solution to students, alumni, individuals, communities and businesses through workshops, seminars, short courses on professional, managerial, technical and soft skills which are conducted on a regular basis.
As an Approved Training Provider of Human Resource Development Corporation
(HRD Corp)
, we offer quality and effective training programmes for individuals to learn and enhance essential knowledge and skills required at the workplace and to become more competitive in the market.
At CPE, we assist our corporate clients to fulfill their training needs by offering customised in-house programmes that are specifically tailored to meet their organisation learning objectives and goals.
TEACHER DEVELOPMENT PROGRAMMES
We offer comprehensive range of Teacher Development workshops to help teaching professionals to develop their knowledge and skills required of an effective educator. These workshops are designed to enhance participants’ pedagogical skills that are necessary for a more effective and well-rounded teaching professional.
PROFESSIONAL AND TECHNICAL DEVELOPMENT PROGRAMMES
We offer examination focused revision courses on professional and technical qualification such as ACCA, AXP, CCNA, CIM, CFA, CFP, CIMA and ICSA. These revision courses are facilitated by qualified and experienced facilitators from the institution and industries. CPE is the Global Learning Premium Partner for CIMA, appointed Education Provider for Certified Financial Planner (CFP) and Chartered Institution of Marketing (CIM), as well as, the test centre for International Computer Driving License (ICDL) and Linguaskill-Cambridge English Assessment.
VOCATIONAL AND LIFELONG LEARNING
In support of lifelong learning, we conduct courses that enhance the personal, social and cultural interests of individuals on topics such as health, fitness, dance and sport, living skills, and cooking. Skill-based short courses are also conducted in collaboration with branch campuses and faculty branches for the public, to master basic hands-on skills to enhance their personal development. These programmes range from Information Technology to mushroom cultivation, baking and cake decoration.
SHORT LANGUAGE COURSES
A variety of short language courses such as English, Japanese, French, Korean and Mandarin are offered to students, staff, alumni and public at CPE.
The General English Language (AELE0364) course is offered with assessment that can be used to satisfy the University College’s English Language entry requirement. Intensive classes are also conducted to prepare students for the Malaysian University English Test (MUET), IELTS examination and Linguaskill-Cambridge English Assessment, a test which is aligned to the Common European of Reference (CEFR), the international standard for describing language ability.
KOREAN LANGUAGE CENTRE
The Korean Language Centre at CPE was established in December 2015 in collaboration with Dankook University Korea (DKU). Comprehensive Korean Language courses are conducted with customised curriculum from DKU to prepare students for the Test of Proficiency in Korean (TOPIK) which is the admission requirement into Korean universities. Classes are facilitated by experienced and licensed instructors from DKU.
STUDENT PLACEMENT SERVICES TO OVERSEAS INSTITUTIONS
The Study Abroad Unit (SAU) is the gateway for TAR UMT community and public to further their studies in prestigious partner universities around the world, mainly in Australia, Ireland, New Zealand, South Korea and United Kingdom.
We are a one-stop centre that offers complete placement services to assist students to explore their study options and provides students with all of the information and guidance they need to live and study abroad, from visa application to travel and accommodation arrangements.
SAU works closely with partner institutions to organize talks, workshops, Information Day and Student Placement Day on a regular basis to enable students to meet up with the universities’ representatives to explore their options in overseas education.
If you are interested to further your studies overseas, make an appointment with us today!
GLOBAL MOBILITY PROGRAMMES FOR STUDENTS
At CPE, we organise customised inbound mobility programmes for students from various parts of the world at our campus and branch campuses. Our programmes are designed and tailored specifically to meet students’ learning objectives and at the same time providing opportunity for students to experience Malaysian culture and hospitality, by focusing on:
Knowledge and skills acquisition or enhancement such as English Language, Business, Information Technology and Technical competencies
Networking with industries
Company visits
Interaction with TAR UMT students
Excursion trips to Kuala Lumpur city centre and outstation
To-date, we have hosted students from Australia, Hong Kong, South Korea, United Kingdom, Vietnam, China, Japan, France, India, Philippines and many more.
CORPORATE MOBILITY PROGRAMMES
The Centre has extensive experience in organising corporate mobility programmes for the past eight years. With strong international engagement, we receive corporate clients from overseas under the corporate mobility programme. Increasingly, organisations are having programmes initiatives set up in APAC region, requiring them to train their staff for the job. With such market change, organisations need to customise corporate mobility programmes to prepare a ready pool of employees to meet this industrial trend.
We welcome both inbound and outbound corporate mobility programmes! Please contact us for further consultation on customised mobility programme for your organisation. We believe with our strong links in the local market and oversea industries, we are able to meet your goals and offer a customised programme that will benefit your organisation.
Contact Us
CENTRE FOR CONTINUING AND PROFESSIONAL EDUCATION
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY
JALAN GENTING KELANG
SETAPAK
53300 KUALA LUMPUR
TELEPHONE: +603-4145 0170 / (6)011-1075 8530
FAX: 603-41423166
EMAIL : cpe@tarc.edu.my
OPENING HOURS
8.30am - 5.30pm
 (Monday - Friday)
Map to TAR UMT
General / Programme Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy",7558,tar-umt-website
accommodation-kl-main-campus,https://www.tarc.edu.my/dsa/a/accommodation/accommodation-kl-main-campus/,2026-03-06T09:15:38.403906,"Accommodation
Accommodation (KL Campus)
On-Campus Hostel
On-Campus Hostel Accommodation (KL Campus)
The hostel consists of 10 blocks of 5-storey building with 1,000 standard rooms which can accommodate 2,000 students. Each room is on a twin-sharing basis with 400 rooms allocated for male and 600 rooms for female in separate blocks. Each floor has its own common bathrooms, toilets, pantry, water dispenser and drying area.
Hostel availability is based on first-come-first-served basis.
Hostel Rental:
RM 267.00 per person per month and is paid on a semester basis.
Room Facilities:
Single bed with mattress
Study table & chair
Cupboard
Window mosquito netting
Ceiling fan
Lights
Book-case
Curtains
Dustbin
Hostel Facilities:
24-hours security
Cafeterias
Air-conditioned study rooms
Room no WIFI (residents need to use own data), free WIFI in Hostel canteen & study room only
Convenience store & stationery shop
ATM (Public Bank)
Water Heater
Hot & cold water dispensers
Self-service laundry machines
Multi-purpose hall with stage facilities
Covered walkway to the campus
Contact Information
KL Campus:
Department of Student Affairs
Ground Floor, Bangunan Tan Sri Khaw Kai Boh (Block A)
Kuala Lumpur Campus
Jalan Genting Kelang
53300 Kuala Lumpur
Mr Siew Yee Hoong / Ms Huei Chin
Tel: 03-41450123 ext 3471 or WhatsApp: 011-10768599
Ms Ana
Tel: 03-41450123 ext 3752
Hostel Office:
Tel: 03-4105 8952/62
Office Hours: Monday to Friday, 8.30am - 5.30pm
Off-Campus Accommodation - Teratai Residency
Click Here to Download the Application Form
(Kindly print out 4 set).
Contact Information
KL Campus:
Department of Student Affairs
Ground Floor, Bangunan Tan Sri Khaw Kai Boh (Block A)
Kuala Lumpur Campus
Jalan Genting Kelang
53300 Kuala Lumpur
Mr Siew Yee Hoong / Ms Huei Chin
Tel: 03-41450123 ext 3471  or WhatsApp 011-10768599
Ms Ana
Tel: 03-41450123 ext 3752
List of Off-Campus Accommodations
The Department of Student Affairs (DSA) has compiled a list of accommodation options near campus. The listed accommodations are also accessible by public transportation or by TAR UMT bus services. The distance to campus is no more than 5 km.
Click to view the List of Off-Campus Accommodations
Note: Please note that in case of renting an accommodation from the above list, all further arrangements are made exclusively between the student and the landlord, tenant or agent. Under no circumstances will TAR UMT be responsible for any problems, misunderstandings or accidents that may arise in this regard
.
To advertise your rental property
on our off-campus accommodation listing website (free of charge), you may email us the completed form along with a photocopy of your NRIC(front and back) to Mr Siew Yee Hoong at yhsiew@tarc.edu.my.
Click here to download the form
Should you have any further inquiries, please contact us at 03-41450123 ext: 3471 or 3752.
More
Johor Branch Campus
Penang Branch Campus
Sabah Branch
Perak Branch Campus
Contact Us
Department of Student Affairs
Tunku Abdul Rahman University OF Management And Technology
Kuala Lumpur Main Campus
Ground Floor, Bangunan Tan Sri Khaw Kai Boh
Jalan Genting Kelang 53300
Kuala Lumpur
Malaysia
Tel: 03-41450123 ext 3752 / 3343
Fax: 03-41423166
WhatsApp: 0111 087 5854
Email: dsa@tarc.edu.my
Map to TAR UMT
General / Programme Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy",3440,tar-umt-website
additional-fees-for-bachelor-degrees-with-dual-award,https://www.tarc.edu.my/intfees/additional-fees-for-bachelor-degrees-with-dual-award/,2026-03-06T09:15:38.404322,"Additional Fees for Bachelor Degrees with Dual Award
Download PDF
Listed below are additional fees payable on top of Bachelor Degree's
estimated total fees
.
Model
Partner University
International Management Institute, Switzerland
Dual Award with One (1) Year Study Abroad
Dual Award Administration Fee RM636* in option year. Thereafter, administration fee of RM318* payable annually.
Study Abroad Administration Fee RM1,272* payable in option year.
No TAR UMT semester tuition fees to be paid during study abroad semester.
Registration Fee + Tuition Fees + Accommodation + Meals
Total CHF 31,650.
* Inclusive of 6% Sales and Service Tax
Fees are subject to change. TAR UMT reserves the absolute right to revise fees/ information from time to time without prior notice. All information is correct at the time of publish. (updated October 2025)
Contact Us
Department of Finance
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY
JALAN GENTING KELANG
SETAPAK
53300 KUALA LUMPUR
Tel: 603-41450123, ext.: 3417/3529/3284/3577/3648/3422/3469
Map to TAR UMT
TAR UMT
©
2026
All Rights Reserved
Disclaimer
and
Privacy Policy",1123,tar-umt-website
additional-fees-for-bachelor-degrees-with-professional-qualification,https://www.tarc.edu.my/intfees/additional-fees-for-bachelor-degrees-with-professional-qualification/,2026-03-06T09:15:38.404501,"Additional Fees for Bachelor Degrees with Professional Qualification
Download PDF
Listed below are additional fees payable on top of Bachelor Degree's
estimated total fees
.
Type of Fees
Professional Bodies
ACCA, UK
MAICSA
CIMA, UK
CIM, UK
Annual Subscription
£137
-
£145
£65
Registration Fee
£89
RM 4,875
(3 years study)
Not Applicable
Exemption Fee
Per paper
Applied Knowledge
£86
Not Applicable
Applied Skills
£114
Renewal Fee
-
Examination Fee
Per paper
Applied Knowledge
£86
Per paper
RM350
Finance Leadership Programme
• 1 year subscription
£600*
Per paper
Level 6 Diploma in Professional Marketing
£165
Applied Skills
£155
• 2 years subscription
£1,020*
Strategic Professional:
• Strategic Business Leader
• Strategic Business Reporting
£274
£202
• 3 years subscription
*fees are inclusive of student registration fee and examination fee
£1,530*
• (options)
£202
Basic Entry Fee for Examination
-
RM 250 (per diet)
-
ACCA, UK
- Association of Chartered Certified Accountants, UK
CIMA, UK
- Chartered Institute of Management Accountants, UK
MAICSA
- Malaysian Institute of Chartered Secretaries and Administrators
CIM, UK
- Chartered Institute of Marketing, UK
For more information, please visit
www.tarc.edu.my
or contact us at
intstudent@tarc.edu.my
.
Fees are subject to change. TAR UMT reserves the absolute right to revise fees/ information from time to time without prior notice. All information is correct at the time of publish. (updated October 2025)
Contact Us
Department of Finance
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY
JALAN GENTING KELANG
SETAPAK
53300 KUALA LUMPUR
Tel: 603-41450123, ext.: 3417/3529/3284/3577/3648/3422/3469
Map to TAR UMT
TAR UMT
©
2026
All Rights Reserved
Disclaimer
and
Privacy Policy",1745,tar-umt-website
application-and-enrolment-status-enquiry,https://www.tarc.edu.my/admissions/application-and-enrolment-status-enquiry/,2026-03-06T09:15:38.405482,"How to Apply
Browse our
website
to select your desired programme. Please take note of the entry requirements, programme details, intake dates, fees and other prerequisites before submitting your application.
Intakes & Programmes
Please complete ALL SECTIONS of the online application and submit the required supporting documents.
Video Guide
Apply Now
Applicants are required to upload the relevant documents:
1
MyKad (front and back)
2
STPM/ A Level/ UEC/ equivalent results (if applicable)
3
MUET/ IELTS/ TOEFL results (if applicable)
4
SPM Ulangan results (if applicable)
5
SPM results (compulsory for all applicants with SPM results, including
UEC
applicants with SPM)
6
O Level/equivalent results (if applicable)
7
Portfolio (compulsory for applicants applying for Graphic Design/Fashion Design/Multimedia Design/Creative Multimedia programmes)
8
Medical Report/Letter – required for applicants with an illness or disability. Applicants with G6PD, colour blindness or asthma only need to submit a medical report/letter if they are applying for a specific programme.
9
A complete set of the following documents, duly certified by the Registrar or Dean/Academic Head of the Faculty/School for applicants with qualifications from other institutions of higher learning  (e.g. Foundation, Certificate, Diploma).
i.Certificate of Awards* (for graduates)/letter on current status (for students who did not complete their programmes)
*Applicants may submit a completion letter while waiting for the Certificate of Awards to be issued by their institution. However, applicants will still be required to submit the Certificate of Awards during the verification of results/awards exercise.
ii.Official Academic Transcript
#
(for graduates)/all semester(s) examination results (for students who did not complete their programmes)
#
Applicants may submit all semester(s) examination results while waiting for the official academic transcript to be issued by their institution. However, applicants will still be required to submit the official academic transcript during the verification of results/awards exercise.
iii.Programme Structure and Syllabi/Course Outline
iv.Salinan Cetakan Akreditasi MQA from the
MQA website
/Recognition
of programme
by an authoritative body in the country concerned
Failure to submit the above will render in the application being processed as a normal application, without consideration for credit transfer (where applicable).
An application is considered complete only after the relevant documents have been submitted and the processing fee (non-refundable) has been paid. The fee is waived for one application only.
All submitted documents will be treated with strict confidentiality. They will become part the University's official records and cannot be released or returned to the student or any other institution.
Applicants are to check their application status by logging into their
online application account
. They will be notified of the result of their application via email. A Short Message Service (SMS) will be sent to successful applicants
(Malaysian phone numbers only)
.
Video Guide
No student should enrol in more than one programme of study at the University at any given time.
Acceptance of the offer of admission is by
paying the fees
as stated in the
‘Payment Details’ advice
latest by the stipulated due date.
Late registration is subject to approval and is at the sole discretion of the University. A late registration fee will apply.
Method of Payment
:-
Online Payment via:
Public Bank Internet Banking
JomPAY via Internet or Mobile Banking Service (Current or Saving accounts)
FPX
Cash payment at Public Bank Branches
Payment Counter,
Department of Finance,
Level 2, Bangunan Tun Tan Siew Sin, KL Campus or the Administration Office of the respective Branch via:
Cheque/Banker’s cheque payable to ‘
TAR UMT
’
Public Bank issued Debit/Credit card
AFTER ACCEPTED OFFER
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy",3994,tar-umt-website
application-for-letter-of-certification,https://www.tarc.edu.my/taruc-alumni/application-for-letter-of-certification/,2026-03-06T09:15:38.405712,"Contact Us
DEPARTMENT OF ALUMNI RELATIONS
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY
JALAN GENTING KELANG
SETAPAK
53300 KUALA LUMPUR
TELEPHONE: 603-4145 0100/ 0123 Ext no. 3456
EMAIL : alumni@tarc.edu.my
OPENING HOURS
8.30am - 5.30pm
 (Monday - Friday)
Map to TAR UMT
General Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT
©
2026
All Rights Reserved
Disclaimer
and
Privacy Policy",437,tar-umt-website
application-for-refund-of-caution-money,https://www.tarc.edu.my/bursary/application-for-refund-of-caution-money/,2026-03-06T09:15:38.405878,"Application for Refund of Caution Money
Click
here
to read ""Notice on Application for Refund of Caution Money""
Click
here
to download application form
Contact Us
Department of Finance
TUNKU ABDUL RAHMAN UNIVERSITY OF MANAGEMENT AND TECHNOLOGY
JALAN GENTING KELANG
SETAPAK
53300 KUALA LUMPUR
Tel: 603-41450123, ext.: 3417/3529/3284/3577/3648/3422/3469
Map to TAR UMT
TAR UMT
©
2026
All Rights Reserved
Disclaimer
and
Privacy Policy",430,tar-umt-website
application-for-vehicle-entry-pass-car-and-motorcycle,https://www.tarc.edu.my/dsa/a/vehicle-entry-pass/application-for-vehicle-entry-pass-car-and-motorcycle/,2026-03-06T09:15:38.406067,"Vehicle Entry Pass
Application for Vehicle Entry Pass (Car & Motorcycle)
Only vehicles with valid TAR UMT entry pass can enter the campus compound. Only the TAR UMT
Department
of Security is authorised to issue the vehicle entry pass. TAR UMT does not allow any other party to sell or give vehicle entry pass to students. Students are prohibited from selling or buying the vehicle entry pass from a
third
party. Students who are found guilty will be subjected to a disciplinary inquiry by the University Disciplinary Authority.
The procedures to apply for the vehicle entry pass are as follows:
1.
App
lication
Students can
apply for
the Vehicle Entry
Pass through
the
TAR UMT intranet
accessible via the homepage (www.tarc.edu.my).
The application is applicable to TAR UMT existing students (EN) and existing students on promotion (EP) only.
Students are only allowed to register one car and motorcycle entry pass. The vehicle number can only be registered once. Multiple registrations will result in being blacklisted.
2.
Balloting
The car entry pass will be issued based on computer balloting. Students can check the balloting results through the
TAR UMT intranet
.
3.
Payment
Vehicle Entry Pass is valid for one year.
The price of a motorcycle entry pass is free of charge. The price of a car entry pass is RM 120 + SST for one year
Successful applicants shall pay the vehicle entry pass bill before the stipulated deadline stated in the bill by any one of the following methods:-
i. Cash only at Public Bank branches in Malaysia;
ii. Public Bank E-Banking via Public Bank’s Internet Banking Service;
iii.
JomPAY
;
iv. Bursary Payment Counter through Public Bank debit/credit card only.
Payment for the vehicle entry pass is
non-refundable
.
4. C
ollection
Successful applicants can collect their vehicle entry pass at the Department of Security, A016B, Bangunan Tan Sri Khaw Kai Boh from Monday to Friday, 8.30 a.m. to 5.00 p.m. based on the collection dates stated in the intranet.
The Vehicle Entry Pass is
non-transferable
.
5.
Terms and Conditions
Please read the terms and conditions stated in the intranet.
Application for Vehicle Entry Pass (Drop off and Pick Up)
Vehicle Entry Pass (Drop off and Pick up) is a pass for parents who send and fetch their children to and from campus.
Parking within the campus is not allowed.
Each student can apply for up to a
maximum
of 2 Vehicle Entry Pass for his/her parents.
Students
can apply for the Vehicle Entry Pass (Drop off and Pick up) through the
TAR UMT intranet
accessible via the homepage (ww.tarc.edu.my)
Vehicle Entry Pass validity is from 1 July to 30 June of the following year.
The price of a vehicle entry pass (Drop off and Pick up) is RM 20 + SST.
Successful applicants shall pay the vehicle entry pass bill before the stipulated deadline stated in the bill by any one of the following methods:-
i. Cash only at Public Bank branches in Malaysia;
ii. Public Bank E-Banking via Public Bank’s Internet Banking Service;
iii.
JomPAY
;
iv. Bursary Payment Counter through Public Bank debit/credit card only.
Payment for the vehicle entry pass is
non-refundable
.
Applicant/Parent can collect the vehicle entry pass at the Department of Security, A016, Bangunan Tan Sri Khaw Kai Boh from Monday to Friday, 8.30 a.m. to 5.00 p.m. by presenting the Student ID Card/Parent NRIC.
The Vehicle Entry Pass is
non-transferable.
Terms and conditions apply.
Contact Information
KL Main Campus:
Department of Security (Room A016B)
Ground Floor, Bangunan Tan Sri Khaw Kai Boh
Kuala Lumpur Main Campus
Jalan Genting Kelang
53300 Kuala Lumpur
Ms
Azrina
Tel: 03-41450123 ext 3283
security@tarc.edu.my
Penang Branch Campus:
Student Affairs Office
Mr
Jeffrey Chan
Tel:04-8995230 ext 175
penang@tarc.edu.my
Perak Branch Campus:
Student Affairs Office
Mr
Amirul Syazwan Bin Samad
Tel:05-4660388, 4668012/3 ext 131
perak@tarc.edu.my
Johor Branch Campus:
Student Affairs Office
Ms
Lee Chai Ling
Tel:07-9270801/3 ext 122
johor@tarc.edu.my
Pahang Branch:
Student Affairs Office
Ms
Wee Chew Yee
Tel:09-5738171 ext 109
pahang@tarc.edu.my
Contact Us
Department of Student Affairs
Tunku Abdul Rahman University OF Management And Technology
Kuala Lumpur Main Campus
Ground Floor, Bangunan Tan Sri Khaw Kai Boh
Jalan Genting Kelang 53300
Kuala Lumpur
Malaysia
Tel: 03-41450123 ext 3752 / 3343
Fax: 03-41423166
WhatsApp: 0111 087 5854
Email: dsa@tarc.edu.my
Map to TAR UMT
General / Programme Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy",4582,tar-umt-website
application-process,https://www.tarc.edu.my/international/application/application-process/,2026-03-06T09:15:39.709469,"Application Process
General Entry Requirements
Bachelor Degree
A Level with minimum 2 Grade D or other equivalent qualifications recognised by the Malaysian Government*.
Diploma
O Level/IGCSE with minimum 3 Grade C(c) in the relevant subjects or other equivalent qualifications recognised by the Malaysian Government*.
Foundation
O Level/IGCSE/equivalent qualifications recognized by the Malaysian Government* with minimum 5 Grade C(c), which must include English Language and specific subjects required by the Bachelor Degree that would be progress to thereafter.
*To view/download the list of foreign qualifications recognised by the Malaysian Government, please log on to
www.mqa.gov.my
or click
here
Note
:
i. To be
considered
into a programme of study, applicants must possess the minimum entry requirements and meet the conditions of entry for the programmes.
ii. The entry requirements must be taken from only ONE (1) examination sitting.
iii. Meeting the minimum entry requirements does not necessarily guarantee a place of admission. Admission to the University would depend on the applicant’s academic standing, programme selection and competition amongst applicants. Selection for admission to any programme/campus is at the sole discretion of the University.
iv. Certain programmes may require applicants to have a minimum CGPA, higher English language proficiency requirements, undergo a Qualifying Test, submission of portfolio and/or an interview.
v. Applicants must not have been involved in any disciplinary cases. Ex-students who were required to leave the programme due to disciplinary action may NOT be re-admitted into the University.
English Language Requirements
International students must meet any one of the following English Language tests recognised by TAR UMT as meeting the English Language requirement before they are accepted for admission to any of the TAR UMT programmes.
Note
:
1.
Test results must be less than
TWO
years old.
2.
Some programmes may require higher English Language requirement, as per MQA programme standard/ professonal bodies.
Exemption from English Language Proficiency Requirement
Applicants from the countries where the native/first language is English or where English is an official language may be exempted from the above stated TAR UMT English Language requirements
Contact Us
Department of International Student Office (DISO)
Address:
Ground Floor, Tan Sri Khaw Kai Boh Building, Jalan Genting Kelang, 53300 Setapak, Kuala Lumpur, MALAYSIA.
Tel :
+6(03) 4145 0100/ 4145 0123
(Ext 3108/3655/3654/3308)
WeChat ID :
TARUMT-DISO
Mobile/ Whatsapp :
+6(011) 1075 8573 (for messaging only)
E-mail :
intstudent@tarc.edu.my
Opening Hours:
8.30am to 5.30pm
(Monday - Friday, except for public holidays)
Map to TAR UMT
General / Programme Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy
[EXTRACTED FROM IMAGES]
‘Submission of complete application via Online Application portal with ALL
required documents and payment of application processing fee
|
‘Acceptance of Offer — Payment of student pass application charges and
University fees and submit ALL necessary student pass application
document(s)
Note: Approval of student pass application is at Education Malaysia Global Services
(MGS) and Immigration Department of Malaysia's sole discretion. The University
shall not take any responsibilities if the student pass is not approved by the said
authorities
v
Application of Visa Approval Letter (VAL) through EMGS
’
Approval of Student Pass Application/Issuance of electronic copy of VAL by
the Immigration Department of Malaysia
v
Student to apply for compulsory Single Entry Visa (SEV) or eVISA through the
Embassy of Malaysia for entry to Malaysia.
v
Pre-Arrival Arrangements ~ Accommodation, etc.
v
Arrival & Registration
FEBRUARY COMMENCEMENT DATE:
+ Foundation
19/02/2024
+ Selected Bachelor Degree/
3 Diploma programmes
+ Foundation 21/06/2024
‘Bachelor Degree & Diploma | 24/06/2024
OCTOBER NOVEMBER COMMENCEMENT DATE:
+ Foundation 1/10/2024
+ Selected Bachelor Degree/
Diploma programme ™ rani 2024
+ Postgraduate programme by research mode
RECOGNISED FOUNDATION DIPLOMA BACHELOR DEGREE
TESTS
Language subject at the
qualification.*
LINGUASKILL CEFR Low B1 (140 & above) CEFR High B1 (154 & above)
Credit in an English Language is : IELTS Band 4.0/ CEFR Low BI (140 & above):
PROGRAMME subject at the Secondary School ff - IT, Computer Science, Accounting, Multimedia - Fashion Design, Graphic Design
WITH SPECIFIC Level may be required for certain J Design, Mass Communication related programmes.
programme, IELTS Band 5.5/ CEFR Low B2 (160 & above):
REQUIREMENT i : = Creative Multimedia, Nutrition, Early Childhood Education,
- Early Childhood Education, Business related Business related programmes.
programmes.
-Finance, English related programmes.
Or any other equivalent qualifica",4957,tar-umt-website
bus-routes,https://www.tarc.edu.my/dsa/a/transportation/bus-routes/,2026-03-06T09:15:39.710072,"Transportation
Bus Routes
Direction
Wangsa Maju
Download Route Map
From TAR UMT to Tarvilla, LRT Wangsa Maju,
Wangsa Maju Section2 and vice versa
Teratai Residency
Download Route Map
From TAR UMT to Teratai Residency, Prima Setapak, Bus Stop Jalan Genting Kelang and vice versa
Jalan Genting Klang
Download Route Map
From TAR UMT to Prima Setapak, Bus Stop Jalan Genting Kelang and vice versa
Melati Utama
Download Route Map
From TAR UMT to Melati Utama, Melati LRT,
TAR-UC and vice versa
PV10, PV12, PV13, PV15
Download Route Map
From TAR UMT to Setapak Central, PV12,
PV10, PV13, PV15 and vice versa
More
Penang Branch Campus
Public Bus Service
Bus Schedule
TAR UMT Bus Service
Latest update
Johor Branch Campus
Contact Us
Department of Student Affairs
Tunku Abdul Rahman University OF Management And Technology
Kuala Lumpur Main Campus
Ground Floor, Bangunan Tan Sri Khaw Kai Boh
Jalan Genting Kelang 53300
Kuala Lumpur
Malaysia
Tel: 03-41450123 ext 3752 / 3343
Fax: 03-41423166
WhatsApp: 0111 087 5854
Email: dsa@tarc.edu.my
Map to TAR UMT
General / Programme Enquiry
Your Name
E-mail Address
Phone Number
Subject
Write Your Message Here...
TAR UMT © 2026 All Rights Reserved
Disclaimer
Privacy Policy
and
ABAC Policy",1221,tar-umt-website
